City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
135,Kuching,MY,75.42,mist,1.55,110.3333,The Ranee Boutique Suites
138,Salinopolis,BR,79.81,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
139,Port Alfred,ZA,64.63,scattered clouds,-33.5906,26.891,The Halyards Hotel
143,Cidreira,BR,70.3,broken clouds,-30.1811,-50.2056,Hotel Castelo
144,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
145,Vao,NC,76.62,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
147,Arona,ES,62.38,broken clouds,28.0996,-16.681,Paradise Court
149,Port Blair,IN,79.65,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
158,Antofagasta,CL,63.54,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
160,Geraldton,AU,73.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
166,Mattru,SL,76.19,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
167,Port-Gentil,GA,80.02,scattered clouds,-0.7193,8.7815,Fengshui Residence
168,Ahipara,NZ,69.28,clear sky,-35.1667,173.1667,Ahipara Holiday Park
169,Mahebourg,MU,73.26,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
171,Ancud,CL,62.13,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
173,Sao Jose Da Coroa Grande,BR,78.84,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
174,Alugan,PH,81.16,overcast clouds,12.2188,125.4808,JM Lodge
177,Airai,TL,72.37,overcast clouds,-8.9266,125.4092,Juvinal Martin
179,Morant Bay,JM,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
184,Puri,IN,63.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
186,Rafaela,AR,82.98,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
188,Necochea,AR,76.96,light rain,-38.5473,-58.7368,dyd -mar Hotel
189,Castro,BR,61.39,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
190,Sampang,ID,84.15,overcast clouds,-7.1872,113.2394,sekretariat IKA STAIN
191,Mkushi,ZM,64.18,light rain,-13.6202,29.3939,Mkushi Police Club
192,Banda Aceh,ID,76.01,moderate rain,5.5577,95.3222,Sulthan Hotel International
194,Xucheng,CN,65.1,overcast clouds,20.35,110.1288,Haixing Hotel
196,Quatre Cocos,MU,73.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
197,Mackay,AU,84.18,scattered clouds,-21.15,149.2,International Lodge Motel
198,Tuatapere,NZ,76.82,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
202,Acapulco,MX,78.84,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
204,Chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
205,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
208,Lamu,KE,79.02,light rain,-2.2717,40.902,Lamu House
210,Kahului,US,82.42,light rain,20.8947,-156.47,Maui Seaside Hotel
211,Gelemso,ET,61.29,scattered clouds,8.8167,40.5167,Kerod Hotel
213,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
215,Sulangan,PH,81.0,scattered clouds,11.1373,123.7228,Maia's Beach Resort
218,Farafangana,MG,73.65,light rain,-22.8167,47.8333,Miarina
220,Alofi,NU,84.09,few clouds,-19.0595,-169.9187,Taloa Heights
222,Minab,IR,62.1,overcast clouds,27.1467,57.0801,Bam campground
223,Sumenep,ID,84.78,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
224,Tanete,ID,84.6,few clouds,-3.9443,119.7848,Wisma Tri Multi
229,Tairua,NZ,76.08,clear sky,-37.0167,175.85,Pacific Harbour Villas
232,Camopi,GF,72.46,broken clouds,3.1655,-52.3158,La pousada
234,Emerald,AU,84.34,scattered clouds,-23.5333,148.1667,The Irish Village
237,Alto Araguaia,BR,71.08,light rain,-17.3147,-53.2153,Araguaia Palace Hotel
238,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
249,Nkoteng,CM,68.58,overcast clouds,4.5167,12.0333,Résidence OOCLO-Cannelle
252,Caravelas,BR,74.8,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
254,Salalah,OM,69.62,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
255,Buta,CD,72.18,scattered clouds,2.7858,24.73,HOTEL BISO NA BISO
258,Bairiki,KI,80.6,light intensity shower rain,1.3292,172.9752,Tarawa Boutique Hotel
259,Coihaique,CL,66.15,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
260,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
266,Anantapur,IN,63.03,clear sky,14.6833,77.6,Ashoka Lodge
268,Palembang,ID,77.09,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
270,Ambilobe,MG,75.76,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
271,Biltine,TD,64.6,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
272,Harper,LR,80.08,overcast clouds,4.375,-7.7169,Screensaver
273,Bonito,BR,75.9,overcast clouds,-21.1211,-56.4819,Marruá Hotel
277,Gizo,SB,82.54,light rain,-8.103,156.8419,Imagination Island
279,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
281,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
284,Millbrook,US,65.21,moderate rain,32.4799,-86.3619,Courtyard by Marriott Montgomery Prattville
285,Fare,PF,79.63,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
289,Sao Felix Do Xingu,BR,73.8,light rain,-6.6447,-51.995,Rio Xingu Camping
292,Dingle,PH,81.97,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
293,Luwero,UG,64.99,light rain,0.8492,32.4731,Forgettable
297,Port Lincoln,AU,63.61,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
301,Omboue,GA,77.02,overcast clouds,-1.5746,9.2618,Hotel Olako
304,Swellendam,ZA,61.18,overcast clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
305,San Patricio,US,60.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
308,Mana,GF,77.47,clear sky,5.6592,-53.7767,LE SAMANA
310,Aparecida Do Taboado,BR,73.35,scattered clouds,-20.0867,-51.0936,Aritana
313,Sokoni,TZ,81.18,clear sky,-6.4333,39.55,Ujamaa Beach Resort
314,Waipawa,NZ,66.83,clear sky,-41.4122,175.5153,Tora Coastal Walk
317,Hobyo,SO,77.92,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
318,Progreso,MX,83.1,broken clouds,21.2833,-89.6667,Playa Linda Hotel
319,Viedma,AR,78.24,clear sky,-40.8135,-62.9967,Hotel Cristal
324,Rio Grande,BR,67.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
325,San Nicolas,PH,78.94,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
327,Sur,OM,67.6,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
328,Buala,SB,82.22,light rain,-8.145,159.5921,Maringe Lagoon Lodge
329,Tolaga Bay,NZ,70.43,clear sky,-38.3667,178.3,Tolaga Bay Motel
332,Maragogi,BR,78.94,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
333,Sibolga,ID,73.99,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
338,Porto Velho,BR,77.05,light rain,-8.7619,-63.9039,Hotel Central
345,Careiro Da Varzea,BR,79.41,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
347,Sorong,ID,82.89,few clouds,-0.8833,131.25,Waigo Splash Hotel
353,Samarai,PG,83.86,overcast clouds,-10.6167,150.6667,Nuli Sapi
355,Lazaro Cardenas,MX,77.97,few clouds,17.9583,-102.2,quinta antigua
356,Seddon,AU,74.77,light rain,-37.8068,144.8916,Footscray Motor Inn
359,Biu,NG,61.83,few clouds,10.6129,12.1946,Emir's Palace
360,The Valley,AI,78.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
362,Byron Bay,AU,84.7,broken clouds,-28.65,153.6167,Backpackers Inn
365,Sinjai,ID,83.88,overcast clouds,-5.1241,120.253,Wisma Sandika
