City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
269,Sumbuya,99,SL,2021-12-15 00:43:51,92,7.6467,-11.9611,76.51,1.48
270,Teacapan,100,MX,2021-12-15 00:44:52,74,22.55,-105.75,74.21,8.72
271,Puerto Baquerizo Moreno,46,EC,2021-12-15 00:44:52,89,-0.9,-89.6,68.47,9.24
272,Fairbanks,75,US,2021-12-15 00:35:33,65,64.8378,-147.7164,-31.4,0.0
273,Hofn,8,IS,2021-12-15 00:44:53,81,64.2539,-15.2082,36.88,11.74
274,Sitka,75,US,2021-12-15 00:44:53,64,57.0531,-135.33,30.09,4.61
275,Mingyue,5,CN,2021-12-15 00:44:53,68,43.1069,128.9217,24.15,5.61
276,Rawson,12,AR,2021-12-15 00:40:50,64,-43.3002,-65.1023,58.03,8.63
277,Skelleftea,90,SE,2021-12-15 00:44:54,69,64.7507,20.9528,26.96,1.01
278,Bac Lieu,57,VN,2021-12-15 00:44:54,80,9.285,105.7244,78.04,9.42
279,Santa Cruz Cabralia,20,BR,2021-12-15 00:44:54,94,-16.2781,-39.0247,77.23,4.61
280,Pisco,0,PE,2021-12-15 00:44:55,82,-13.7,-76.2167,66.25,18.41
281,Cherskiy,100,RU,2021-12-15 00:44:55,82,68.75,161.3,-18.78,4.54
282,Mamou,100,GN,2021-12-15 00:44:55,39,10.5,-12.0,70.9,2.26
283,Bijapur,100,IN,2021-12-15 00:40:10,82,16.8333,75.7,67.44,10.09
284,Rio Grande,100,BR,2021-12-15 00:44:56,85,-32.035,-52.0986,67.28,17.78
285,Brownsville,1,US,2021-12-15 00:44:26,83,25.9018,-97.4975,77.11,3.0
286,Dharampuri,100,IN,2021-12-15 00:44:56,59,22.1667,75.35,66.9,5.14
287,Mariental,3,NA,2021-12-15 00:44:57,16,-24.6333,17.9667,71.11,1.59
288,Ternate,91,ID,2021-12-15 00:44:57,74,0.8,127.4,83.73,7.31
289,San Patricio,100,US,2021-12-15 00:44:57,89,28.017,-97.5169,75.88,12.1
290,Barcelos,54,PT,2021-12-15 00:42:19,62,41.5388,-8.6151,52.68,5.41
291,Storsteinnes,100,NO,2021-12-15 00:36:18,83,69.2408,19.2344,35.38,7.67
292,Saldanha,100,ZA,2021-12-15 00:44:58,81,-33.0117,17.9442,59.05,11.88
293,Tilichiki,100,RU,2021-12-15 00:44:58,93,60.4667,166.1,7.39,15.32
294,Eureka,27,US,2021-12-15 00:44:59,86,40.8021,-124.1637,46.92,3.74
295,Omboue,100,GA,2021-12-15 00:44:59,89,-1.5746,9.2618,77.49,5.23
296,Goldsboro,1,US,2021-12-15 00:40:32,62,35.3849,-77.9928,51.94,4.61
297,Provideniya,90,RU,2021-12-15 00:44:59,77,64.3833,-173.3,-3.89,17.9
298,West Wendover,90,US,2021-12-15 00:45:00,75,40.7391,-114.0733,36.61,40.29
299,Kilindoni,32,TZ,2021-12-15 00:45:00,73,-7.9139,39.6668,81.0,8.81
300,Kelheim,100,DE,2021-12-15 00:45:00,95,48.9167,11.8667,38.62,1.72
301,Port Lincoln,0,AU,2021-12-15 00:45:01,58,-34.7333,135.8667,67.17,9.93
302,Longyearbyen,0,SJ,2021-12-15 00:45:01,69,78.2186,15.6401,28.24,13.8
303,Nizhnyaya Omka,100,RU,2021-12-15 00:45:01,93,55.4338,74.9426,15.08,10.49
304,Anori,88,BR,2021-12-15 00:45:02,92,-3.7728,-61.6442,75.94,2.73
